7:29,138,155,224,239,289,302,518,650,866
18:102361,56108,99919,58542,114961,95325,117459,999,115977,11081
19:99909,22864,78544,34352,45983,48983,1393,73748,22513,27458
36:88181,16839,4881,52452,107454,58863,38661,16325,26074,20743
37:84761,61247,38510,7290,30764,57160,70763,7416,33951,66070
41:101148,44319,57965,64417,83479,2347,23965,112687,92471,35856
42:113866,54463,113174,104868,35063,25299,40958,65255,39815,49672
43:35132,19641,71145,7559,38410,117947,14920,80589,5406,18210
44:60940,108016,72860,73614,58739,87646,25904,104277,22963,107596
45:49887,99729,75410,100604,21985,10796,80276,4567,101170,32021
46:69281,61718,113581,101683,60132,72970,107215,44825,108866,41585
59:102025,33990,61293,90751,103879,71718,2405,90501,28571,97970
60:845,28558,102321,76778,35610,31937,98004,16274,38960,26748
69:24448,55664,90543,63388,39357,57041,78245,48174,70539,96041
70:54912,75564,90024,1453,19146,109960,120632,106060,43894,114454
94:26779,111223,25291,116382,102818,61624,52780,39978,37362,26607
106:45463,68483,28,615,100232,81513,87549,104348,60898,71641
115:14875,55555,43613,51769,91573,11865,48640,67537,17729,50936
116:52059,23567,4747,56544,120530,113953,37510,25208,19618,81009
142:64560,96885,84730,57303,88346,84154,114619,34953,227,64560
143:87706,23895,53512,799,81125,59132,83255,108607,79698,113676
148:6445,18027,69012,2403,42833,2065,355,40386,40337,6470
150:102186,66182,54220,47082,75397,95643,10764,19132,2258,10843
156:68644,38572,16567,4874,85276,50760,27972,34888,8564,110419
161:118538,112880,8096,41685,12365,114075,82259,68882,88712,1211
171:80370,55253,5747,111413,27098,95510,77528,15371,62522,79672
172:48049,35693,85677,26477,117384,3823,3541,50991,8306,89010
174:81214,30717,67809,65561,2628,55830,45721,74202,55441,13358
177:27275,84517,31291,20901,117676,91739,24121,92560,21175,91773
196:118185,11535,7571,77863,19878,115560,31355,68287,62086,11114
202:55245,35162,49466,8747,60146,95432,66919,83252,112209,48859
211:117791,20541,114927,91194,80616,16727,49942,94921,64399,13697
217:73753,37560,61739,75840,50703,33969,56281,11034,112159,78699
220:93753,44499,112587,85826,116253,57251,91013,12292,23943,2316
223:5305,72136,120732,48085,3627,3435,28729,106487,1456,1034
224:112883,112952,35700,24773,119621,88533,98162,79818,86867,43562
225:102924,94986,85051,5880,17982,93977,93052,110790,89141,99020
228:84592,31406,24755,104547,34314,37679,32906,14972,108770,118443
229:65900,28473,100966,34709,9903,38470,40403,115820,24851,60537
231:43874,46508,86596,2725,42354,9264,79823,102352,23985,64706
232:58102,25152,13773,46797,20912,9019,18326,37245,33733,54691
238:53147,115668,48918,56617,94597,51508,32163,22531,81298,23105
241:99608,42194,97237,56954,79044,47437,93930,89701,30568,46547
245:37452,25061,71782,50711,34945,106590,73965,84358,44884,120138
249:16134,32761,84879,75925,18864,66744,88700,38340,85212,88406
250:57034,25543,114286,108622,42664,5981,117783,2276,9553,88583
253:114651,82836,16730,112152,51659,101868,75042,37073,20748,57314
257:4181,16900,23557,12202,10060,101205,50572,82646,43166,84011
272:43826,6730,12461,102499,22696,25228,95716,10932,31619,30349
273:22469,70823,28820,92700,50681,91721,41197,120243,120617,101880
288:110705,107446,37638,54594,73057,30993,3682,52392,7412,71063
290:93956,73824,89738,74587,78802,119912,84215,66456,11768,81008
291:65666,38541,6764,47843,17717,70163,107982,23905,21598,58278
292:68419,6494,85614,21717,74202,38075,58415,54427,48364,97443
294:120272,45725,27316,95561,41249,120107,75835,54218,84283,74279
328:56918,11438,1551,57264,28419,66223,87170,28302,44203,4933
331:93749,63491,71736,22471,34109,58694,104958,42993,28144,39168
345:110168,7762,28403,92349,71772,49862,55741,46427,5453,97990
361:77590,64770,27112,49553,71742,17722,64545,116355,42617,34351
376:68178,67849,59072,23344,11675,78800,21118,9820,114891,101326
384:12324,49267,46543,16019,27448,108033,44868,85287,85280,60911
401:67529,58388,41840,78582,107207,85522,84839,35933,34386,83556
402:110277,18150,110167,77013,60674,91498,112374,85923,114109,69945
410:47866,55502,29356,85620,3198,71686,111892,59608,39414,41707
448:103843,32950,69146,90094,16002,30194,60556,57218,55073,119032
449:47898,64887,82506,70416,45434,80769,55789,103541,109978,41957
450:96805,26154,106964,56608,20041,85285,56282,32162,82407,19706
452:22875,76685,111374,102605,44444,46189,24062,72408,58305,40536
476:76537,49861,106891,26817,4046,47069,94847,24332,48881,85307
488:117359,114635,12262,59703,50778,86595,44511,83377,62053,63128
490:108367,117389,1284,117126,88084,98062,71447,38166,108016,23073
494:67907,44942,95096,57539,31463,96866,22290,57590,101379,64903
500:61412,102181,120044,80847,878,27665,62057,48982,40152,46581
514:92788,94308,59529,58821,94656,41976,6536,3700,28054,115792
525:5573,60514,22294,70696,26909,62933,111054,37038,107218,105241
535:104969,9285,82394,93655,671,116734,53216,104996,21977,89067
536:19419,102127,39348,38064,25991,88731,79544,81503,14328,81913
538:57420,22267,69817,28653,80138,46783,15065,113581,41523,56292
539:60874,52444,29496,80833,120095,24955,14772,75595,11319,86081
564:59799,58033,83908,104394,81861,70919,76187,73767,43790,44085
582:69265,46480,38007,56607,111824,29694,27074,49372,22361,42606
585:84533,83364,68210,117956,115107,105782,81102,43452,80119,43245
590:97594,86890,90285,71189,91374,7439,46979,41088,9816,109034
601:68861,24431,19590,113413,78908,49532,102945,1125,63403,34199
618:24373,91279,3414,26510,94477,2474,87132,86612,15768,58382
624:84980,90289,27488,20270,95940,37936,99776,90447,11835,11640
627:54207,87135,41070,75229,59038,37034,33572,66164,86832,26353
628:62837,115708,73585,25086,3548,67477,45332,14355,115280,70365
632:44947,17975,70380,4223,4440,87851,28320,95945,22360,34246
633:49081,47610,2687,95013,21575,71738,119913,96784,51038,6974
634:107921,37085,37799,50563,66878,44507,98613,110267,25187,61393
646:49302,89691,45542,40433,95456,100075,96204,60349,41481,113582
666:31219,33680,37941,16433,95142,119651,41057,102097,56201,75549
667:60787,24397,4710,62429,76350,81400,101948,45773,96568,54421
669:52660,38025,108084,86417,70939,33684,100741,96378,56347,98182
678:63895,116169,98948,57322,25136,74256,49249,31234,72829,113927
680:89618,105865,92422,35219,99431,102284,11930,33412,49729,1589
681:37837,81908,48978,95953,72662,14425,118068,116328,113588,55548
682:48825,17567,41042,100909,49806,40880,75786,66721,85219,56258
683:106606,112929,41094,79140,58127,108534,91645,110146,59133,21558
684:26517,50573,93468,117036,77604,110062,49490,1723,67322,6473
715:7103,42856,77684,15407,37146,88713,67442,18714,25099,63671
716:38607,23437,102284,111011,96903,9247,64884,117506,76326,24664
741:63250,22106,60370,6913,39328,61486,108533,62012,104788,47575
750:58254,38710,53269,118592,7339,3231,74940,31720,94162,23806
754:56416,17298,98928,177,70319,89981,42955,106535,15927,24065
756:21008,62007,114271,62058,87995,76799,2403,61968,29209,112134
757:96360,89694,117144,65186,101195,20050,88400,105718,23754,89936
758:38874,55753,23785,2623,15482,47229,115136,50849,26802,103382
763:63305,82120,66062,34385,26614,3288,2405,43042,37195,41237
773:104878,15222,882,48392,35531,112732,14231,23580,64622,23955
774:83952,26062,112951,104708,14143,105870,23711,46991,56129,1434
775:11111,104806,9665,11299,88083,58039,111839,70204,17805,74146
782:20461,77288,44480,99212,70378,68053,99470,108049,13421,89148
784:21697,16393,53972,7622,100186,43519,78361,75847,65609,119162
793:7773,78926,84056,62321,63402,45523,31272,75517,102039,58218
803:90875,39992,54473,45983,84152,85939,78426,91302,113831,27190
813:97876,73847,21034,116440,38607,70600,102128,5549,68531,53670
815:30097,29862,64843,26761,63472,88772,69671,101180,2390,42271
817:96704,82154,80817,98017,81131,10966,18063,60816,70669,108937
818:75110,29815,104294,15824,81985,63277,66083,38330,92587,37678
823:1148,29871,110383,67525,106815,91828,45193,42258,13030,87547
825:51896,78901,23614,25988,48091,28600,15482,2391,27557,13653
833:35495,114576,60784,87296,67468,43903,99713,109485,60922,64202
835:50237,105996,21695,52863,61833,70750,41850,63873,80173,7361
838:106412,66422,26619,13586,52807,87042,59093,24808,28556,74059
844:67095,9795,96261,41240,92697,79029,21146,45161,48737,7457
850:28545,2686,56393,114470,104677,34607,73454,14798,91761,75278
856:88424,80527,111225,14282,119047,32168,64735,31794,101949,46389
857:49354,31726,29286,56491,80832,14481,84568,119779,56646,34390
874:11348,117514,104959,5313,72926,72353,56812,32852,48445,51801
891:3419,73797,92428,88204,64904,47703,74697,98581,51309,38780
899:5706,4988,108019,82036,88447,19919,38029,11227,18994,72501
900:27268,1879,38987,64032,104475,91395,91781,59727,93635,119048
911:8123,65167,79728,85633,86638,20478,47572,44291,118024,5826
918:103779,99065,18030,103605,87513,37973,112055,90915,67568,109883
925:118845,110662,44373,28280,63718,59427,88477,114932,119686,47891
926:7763,72931,72516,43712,6711,98411,50528,36832,14308,103446
937:90230,51864,41737,30348,41429,94811,61034,96881,66203,106378
949:23958,24015,9796,25405,66627,108656,88100,90476,119896,62598
964:83957,30940,52369,84258,36372,13834,50784,76767,67660,65026
970:85030,105968,72897,40156,56368,115294,5665,89214,102703,79825
977:16656,32998,55317,28884,94850,96977,28335,110443,120328,80278
981:72048,102907,27814,11261,31676,97102,84946,54308,14603,100306
982:94765,75317,11397,70473,107674,14960,38299,108974,102580,35458
984:54947,9449,107536,92865,28020,12192,26330,30349,69121,35296
992:29005,50150,3920,23515,86933,24158,29310,67141,81068,26205
993:63217,18676,71816,104856,40471,58013,111611,53581,115669,42229
998:39700,120440,62176,117101,36213,76439,3906,68528,14231,74387
1000:58294,116798,94991,82716,54751,72716,80101,95785,90284,23523
1007:22298,36550,66281,19442,23021,84169,57037,83307,53215,34445
1027:107253,30733,25793,52196,65523,33287,9897,2723,67375,110555
1028:46942,101545,83723,15246,109249,99699,117199,25524,30078,40545
1044:46156,31951,78458,34430,24993,7375,99690,84960,52921,79136
1045:21962,2283,119743,76310,9306,99806,62368,41711,41583,9978
1049:102549,99662,66205,81509,108681,113018,22126,72627,82220,11705
1068:112733,54394,51767,32833,70202,115044,67469,35780,79352,9536
1069:114649,29878,87150,45289,119177,75933,78179,26545,105762,63419
1070:86232,116700,33601,74950,115399,84761,119201,86053,76468,90473
1082:2906,55402,4762,100570,30367,94959,81415,8399,20947,83600
1083:74775,34719,58668,28239,14941,99214,57639,24967,23289,51401
1088:89664,17372,83270,73146,49481,117142,30186,109217,74782,114862
1094:26214,67987,101849,117156,44516,104497,13090,14895,114050,13377
1116:35949,38886,90535,87096,71253,94210,84393,30193,82547,3948
1121:51074,76957,39440,6566,116008,111623,24534,7199,63373,119827
1125:23855,116382,24829,88514,105082,105787,40923,87362,101842,35930
1127:31182,27431,101386,79986,16559,46061,114225,69696,88414,87207
1132:21244,13859,26742,91955,13741,98230,80761,57280,5033,57475
1133:24205,106015,35842,97866,4085,58962,26116,120321,33788,88322
1140:110734,104493,103877,44648,102627,74211,104937,82628,6156,91451
1141:69047,64563,12289,109452,92554,26657,62416,14147,59172,10597
1148:52621,67587,5453,7163,50689,65520,108770,93599,41697,61313
1153:103409,87050,64996,14422,88648,100688,13248,49084,84610,92128
1163:106009,21382,1461,65177,107472,4237,105041,117377,116735,68403
1166:50272,66909,97207,108352,30089,75839,68756,44343,24892,25035
1172:114760,108324,424,23154,34283,29995,22889,105845,112146,112757
1192:78634,58982,5314,98232,35710,53406,45794,33143,32245,84898
1204:80059,96441,29855,27366,29602,12254,70405,55634,83583,101239
1208:87761,85224,69476,104284,77393,112504,29199,112906,29190,2903
1209:99863,99820,65684,57551,41134,13486,110391,1407,37521,93447
1234:102563,83706,82185,21952,76005,97739,440,119470,57878,49269
1236:92783,115206,53734,89980,116025,32235,58497,113302,113003,86709
1245:82690,93801,42275,1993,116329,46986,30799,42119,78391,66021
1263:39411,14476,74940,103810,28465,38200,114305,103541,75286,56429
1267:43232,103030,109708,80501,44666,82082,86964,4080,59848,24150
1269:8211,17553,36785,75950,1124,28241,17109,119503,76057,59223
1288:98565,66756,31611,77406,74105,89128,22166,81267,81646,37602
1295:23993,89821,38618,103837,81765,54746,58910,117306,54977,79940
1296:61411,63236,81050,64926,99724,57718,62693,81872,19188,75062
1302:98761,108683,74334,53186,23982,22529,72982,46106,3996,27400
1305:22519,3261,22064,81820,56416,39027,36905,61562,7043,119605
1342:111643,114109,4958,101467,26485,115792,32384,90941,13015,76814
1382:43636,2526,117359,77539,84116,103071,111720,3581,17093,97049
1389:8882,105863,69159,28079,51633,96689,26128,111601,60743,11487
1391:73861,96466,21248,71693,10133,36365,1934,106355,4211,70554
1397:4334,25734,82304,73382,60542,47593,70865,67405,25544,100630
1402:86923,15979,102329,12670,76403,68652,106881,8938,8873,9932
1405:110464,85330,23032,80521,27442,37351,97044,101045,114696,2731
1407:57047,110438,32170,13327,35371,30650,43910,19839,104140,105748
1408:23013,42100,117557,79974,74830,57671,70902,3213,60261,16851
1409:34517,48473,18122,24469,100111,32991,42323,6945,105367,89614
1412:113361,73584,109689,73982,98640,74193,76134,111563,109327,16850
1413:101490,920,119937,111715,33113,78592,100830,82177,94819,96079
1418:72158,104166,96172,47863,67001,107863,33145,43016,64605,60444
1419:27947,14468,84077,42201,103237,35650,59341,10813,50077,13273
1420:119159,58701,84496,30589,105074,39319,70327,4732,1531,50077
1427:38295,43530,69555,33048,39995,69763,39844,34636,81324,111458
